,S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,date
0,1,10% Himalayan Bank Debenture 2083,1,1055.00,1055.00,1055.00,25.00,26375.00,1076.00,-21.00,2021-04-01
1,2,10% Prabhu Bank Debenture 2084 ,1,1060.00,1060.00,1060.00,25.00,26500.00,1053.00,7.00,2021-04-01
2,3,10% Sunrise Debenture 2080,1,1025.00,1025.00,1025.00,25.00,25625.00,1045.00,-20.00,2021-04-01
3,4,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,3,1075.00,1075.00,1075.00,1425.00,1528650.00,1051.00,24.00,2021-04-01
4,5,10.25% NBBL Debenture 2085,1,1050.00,1050.00,1050.00,25.00,26250.00,1055.00,-5.00,2021-04-01
5,6,10.25% NIC Asia Debenture 2083/84,2,1086.00,1065.00,1086.00,118.00,127875.00,1060.00,26.00,2021-04-01
6,7,10.5 % NEPAL INVESTMENT DEBENTURE 2082,2,1150.00,1140.00,1140.00,90.00,103100.00,1140.00,0.00,2021-04-01
7,8,11% NIC Asia Debenture 082/83,3,1165.00,1150.00,1150.00,715.00,832100.00,1165.00,-15.00,2021-04-01
8,9,12% ICFC Finance Limited Debenture 2083,3,1183.00,1183.00,1183.00,140.00,165620.00,1160.00,23.00,2021-04-01
9,10,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,111,1599.00,1555.00,1564.00,3773.00,5912694.00,1576.00,-12.00,2021-04-01
10,11,Agriculture Development Bank Limited,472,455.00,434.00,439.00,70842.00,30957188.00,445.00,-6.00,2021-04-01
11,12,Ajod Insurance Limited,1278,1031.00,984.00,1031.00,118611.00,121807771.00,938.00,93.00,2021-04-01
12,13,Ankhu Khola Jalvidhyut Company Ltd,139,151.00,147.00,150.00,8181.00,1227101.00,149.00,1.00,2021-04-01
13,14,Api Power Company Ltd.,2682,349.00,322.00,340.00,711253.00,240000761.00,321.00,19.00,2021-04-01
14,15,Arun Kabeli Power Ltd.,705,346.00,326.00,337.00,226134.00,76676281.00,330.00,7.00,2021-04-01
15,16,Arun Valley Hydropower Development Co. Ltd.,613,257.00,240.00,255.00,199280.00,49722268.00,244.00,11.00,2021-04-01
16,17,Asha Laghubitta Bittiya Sanstha Ltd,158,1579.00,1542.00,1579.00,15464.00,24174912.00,1572.00,7.00,2021-04-01
17,18,Asian Life Insurance Co. Limited,138,1274.00,1253.00,1264.00,20178.00,25524890.00,1268.00,-4.00,2021-04-01
18,19,Bank of Kathmandu Ltd.,811,320.00,300.00,309.00,374271.00,116443970.00,304.00,5.00,2021-04-01
19,20,Barun Hydropower Co. Ltd.,116,252.00,243.00,248.00,16057.00,3978527.00,249.00,-1.00,2021-04-01
20,21,Best Finance Company Ltd.,86,162.00,158.00,162.00,22460.00,3595498.00,162.00,0.00,2021-04-01
21,22,Bottlers Nepal (Terai) Limited,14,9370.00,9100.00,9100.00,220.00,2036220.00,9100.00,0.00,2021-04-01
22,23,Butwal Power Company Limited,348,411.00,403.00,407.00,56035.00,22841924.00,404.00,3.00,2021-04-01
23,24,Central Finance Co. Ltd.,67,205.00,197.00,200.00,22742.00,4591574.00,198.00,2.00,2021-04-01
24,25,Century Commercial Bank Ltd.,623,253.00,246.00,248.00,135489.00,33801219.00,247.00,1.00,2021-04-01
25,26,Century Commercial Bank Ltd. Promoter Share,1,112.00,112.00,112.00,21753.00,2436336.00,112.00,0.00,2021-04-01
26,27,Chandragiri Hills Limited,1826,2120.00,2037.00,2050.00,34884.00,72097828.00,2120.00,-70.00,2021-04-01
27,28,Chhimek Laghubitta Bikas Bank Limited,413,1700.00,1650.00,1654.00,26940.00,44753459.00,1670.00,-16.00,2021-04-01
28,29,Chhyangdi Hydropower Ltd.,87,210.00,203.00,208.00,12891.00,2680483.00,206.00,2.00,2021-04-01
29,30,Chilime Hydropower Company Limited,347,618.00,585.00,590.00,76436.00,45129761.00,589.00,1.00,2021-04-01
30,31,Citizen Bank International Limited,623,315.00,307.00,310.00,160064.00,49795355.00,308.00,2.00,2021-04-01
31,32,Citizen Investment Trust,244,4410.00,4350.00,4370.00,12138.00,53003405.00,4390.00,-20.00,2021-04-01
32,33,Citizens Mutual Fund -1,28,10.60,10.45,10.60,47600.00,502430.50,10.63,-0.03,2021-04-01
33,34,CITIZENS MUTUAL FUND 2,9,11.10,10.95,11.01,8300.00,91411.00,11.09,-0.08,2021-04-01
34,35,Civil Bank Ltd,656,241.00,228.00,232.00,258959.00,60116313.00,230.00,2.00,2021-04-01
35,36,Civil Laghubitta Bittiya Sanstha Ltd.,179,1270.00,1170.00,1180.00,12267.00,14686918.00,1210.00,-30.00,2021-04-01
36,37,Corporate Development Bank Limited,56,665.00,648.00,654.00,6850.00,4489950.00,650.00,4.00,2021-04-01
37,38,Deprosc Laghubitta Bittiya Sanstha Limited,368,1775.00,1733.00,1733.00,18694.00,32607293.00,1755.00,-22.00,2021-04-01
38,39,Dibyashwori Hydropower Ltd.,132,123.00,113.00,118.00,24024.00,2871064.00,118.00,0.00,2021-04-01
39,40,Everest Bank Limited,241,769.00,752.00,752.00,29185.00,22199061.00,755.00,-3.00,2021-04-01
40,Page 2/11 «First ‹Prev 12345678910Next›Last»,,,,,,,,,,2021-04-01
41,41,Everest Bank Limited Con. Pref.,3,720.00,715.00,720.00,343.00,245300.00,711.00,9.00,2021-04-01
42,42,Everest Insurance Co. Ltd.,400,793.00,745.00,745.00,51666.00,39441913.00,757.00,-12.00,2021-04-01
43,43,Everest Insurance Co. Ltd. Promoter Share,56,424.00,388.00,398.00,14287.00,5732300.00,400.00,-2.00,2021-04-01
44,44,Excel Development Bank Ltd.,166,464.00,449.00,464.00,45678.00,20891571.00,449.00,15.00,2021-04-01
45,45,First Micro Finance Development Bank Ltd.,512,921.00,860.00,861.00,74829.00,65163607.00,878.00,-17.00,2021-04-01
46,46,Forward Community Microfinance Bittiya Sanstha Ltd.,171,2899.00,2800.00,2802.00,19522.00,55008236.00,2864.00,-62.00,2021-04-01
47,47,Ganapati Microfinance Bittiya Sanstha Limited,49,1659.00,1605.00,1628.00,1480.00,2412482.00,1637.00,-9.00,2021-04-01
48,48,Garima Bikas Bank Limited,428,334.00,317.00,324.00,82359.00,26784672.00,320.00,4.00,2021-04-01
49,49,General Insurance Company Nepal Ltd,890,755.00,718.00,721.00,43754.00,31916799.00,738.00,-17.00,2021-04-01
50,50,Ghalemdi Hydro Limited,115,163.00,151.00,157.00,13746.00,2156138.00,154.00,3.00,2021-04-01
51,51,Global IME Bank Limited,1236,444.00,434.00,437.00,173432.00,75952685.00,438.00,-1.00,2021-04-01
52,52,Global IME Bank Ltd. Promoter Share,2,152.00,152.00,152.00,14921.00,2267992.00,152.00,0.00,2021-04-01
53,53,Global IME Laghubitta Bittiya Sanstha Ltd.,116,2150.00,2120.00,2140.00,7265.00,15479882.00,2150.00,-10.00,2021-04-01
54,54,Global IME Samunnat Scheme-1,23,15.98,15.43,15.89,124836.00,1943143.24,15.98,-0.09,2021-04-01
